
資料表格 Table/DBF 檔案                     # 記錄        最近一次更新              大小
ACC_SYS.DBF                                      1          15.01.1900              1142
BARCODE.DBF                                     15          02.02.1900              1518
BMK.DBF                                         81          03.01.1996              9639
COUNT.DBF                                        1          02.02.1900               337
DATDBF.DBF                                      27          20.09.1999             15204
DBF.DBF                                         12          29.10.1995               382
DBF_COND.DBF                                    16          05.09.1995              2754
DEPA.DBF                                        31          12.12.1999               873
DOCUNO.DBF                                      12          17.01.1900               589
DOCUSEQ.DBF                                     30          31.01.1900               783
DOCUTIT.DBF                                      1          02.02.1900              1282
ERROR.DBF                                       66          17.06.1995              2408
HELP.DBF                                         4          16.09.1999               266
HL.DBF                                          19          07.02.1996               656
INV_SYS.DBF                                      1          23.12.1999               705
LISTID.DBF                                       7          22.12.1999               507
MENU.DBF                                       122          30.01.1900              9074
OPERATOR.DBF                                     3          08.12.1999              2144
PAYMENT.DBF                                      9          29.01.1900               549
POUNIT.DBF                                       8          17.10.1999               425
SHOP.DBF                                         5          03.12.1999               468
STOCKLST.DBF                                     0          28.09.1999               616
TITLE.DBF                                       24          10.02.1996              2098
UNIT.DBF                                         8          03.12.1999               154
UP.DBF                                           8          12.01.1900               433
YPA.DBF                                         13          23.12.1999              3271
YPD.DBF                                         43          23.12.1999             11331
YSA.DBF                                          5          17.01.1900              2077
YSD.DBF                                         74          17.01.1900             21457
ZFT.DBF                                          3          26.11.1994               219
ZL.DBF                                           0          05.03.1996                65
ZTK.DBF                                          7          06.03.1996               521

共有     93947 位元組在 32 檔案中。
磁碟中剩餘 2147155968 位元組。
